classifier,metric,n_datasets,method_a,method_b,wilcoxon_statistic,raw_p_value,holm_p_value,significant_after_holm
logistic_regression,balanced_accuracy,13,rus,enn,24.0,0.26611328125,1.0,False
logistic_regression,balanced_accuracy,13,rus,tomek,3.0,0.00244140625,0.08056640625,False
logistic_regression,balanced_accuracy,13,rus,smote,25.0,0.30126953125,1.0,False
logistic_regression,balanced_accuracy,13,rus,spe,28.0,0.423828125,1.0,False
logistic_regression,balanced_accuracy,13,rus,ubag,26.0,0.33935546875,1.0,False
logistic_regression,balanced_accuracy,13,rus,obag,13.0,0.04248046875,0.9345703125,False
logistic_regression,balanced_accuracy,13,rus,sbag,29.0,0.4697265625,1.0,False
logistic_regression,balanced_accuracy,13,rus,cost,4.0,0.001708984375,0.063232421875,False
logistic_regression,balanced_accuracy,13,enn,tomek,0.0,0.00048828125,0.02197265625,True
logistic_regression,balanced_accuracy,13,enn,smote,18.0,0.10986328125,1.0,False
logistic_regression,balanced_accuracy,13,enn,spe,34.0,0.7333984375,1.0,False
logistic_regression,balanced_accuracy,13,enn,ubag,20.0,0.1513671875,1.0,False
logistic_regression,balanced_accuracy,13,enn,obag,18.0,0.10986328125,1.0,False
logistic_regression,balanced_accuracy,13,enn,sbag,24.0,0.26611328125,1.0,False
logistic_regression,balanced_accuracy,13,enn,cost,3.0,0.001220703125,0.050048828125,False
logistic_regression,balanced_accuracy,13,tomek,smote,1.0,0.0009765625,0.04296875,True
logistic_regression,balanced_accuracy,13,tomek,spe,9.0,0.01611328125,0.38671875,False
logistic_regression,balanced_accuracy,13,tomek,ubag,5.0,0.0048828125,0.13671875,False
logistic_regression,balanced_accuracy,13,tomek,obag,2.0,0.00146484375,0.05859375,False
logistic_regression,balanced_accuracy,13,tomek,sbag,2.0,0.00146484375,0.05859375,False
logistic_regression,balanced_accuracy,13,tomek,cost,29.0,0.2734375,1.0,False
logistic_regression,balanced_accuracy,13,smote,spe,16.0,0.0771484375,1.0,False
logistic_regression,balanced_accuracy,13,smote,ubag,36.0,0.85009765625,1.0,False
logistic_regression,balanced_accuracy,13,smote,obag,26.0,0.33935546875,1.0,False
logistic_regression,balanced_accuracy,13,smote,sbag,29.0,0.7646484375,1.0,False
logistic_regression,balanced_accuracy,13,smote,cost,4.0,0.001708984375,0.063232421875,False
logistic_regression,balanced_accuracy,13,spe,ubag,22.0,0.20361328125,1.0,False
logistic_regression,balanced_accuracy,13,spe,obag,14.0,0.05224609375,1.0,False
logistic_regression,balanced_accuracy,13,spe,sbag,18.0,0.10986328125,1.0,False
logistic_regression,balanced_accuracy,13,spe,cost,11.0,0.013427734375,0.34912109375,False
logistic_regression,balanced_accuracy,13,ubag,obag,38.0,0.9697265625,1.0,False
logistic_regression,balanced_accuracy,13,ubag,sbag,30.0,0.5185546875,1.0,False
logistic_regression,balanced_accuracy,13,ubag,cost,5.0,0.00244140625,0.08056640625,False
logistic_regression,balanced_accuracy,13,obag,sbag,6.0,0.013671875,0.34912109375,False
logistic_regression,balanced_accuracy,13,obag,cost,4.0,0.001708984375,0.063232421875,False
logistic_regression,balanced_accuracy,13,sbag,cost,4.0,0.001708984375,0.063232421875,False
