dataset,method,method_family,base_classifier,ensemble_size,tuning_mode,metric,mean_value,std_value,n_folds,mean_fit_seconds
adult,base,baseline,decision_tree,10,library_defaults,balanced_accuracy,0.7295429678684862,0.007113625151384344,5,1.0623225212097167
adult,base,baseline,decision_tree,10,library_defaults,macro_f1,0.7284229684951752,0.006140287843644154,5,1.0623225212097167
adult,base,baseline,logistic_regression,10,library_defaults,auprc,0.780770251835422,0.007536476045947929,5,2.0200439929962157
adult,base,baseline,logistic_regression,10,library_defaults,balanced_accuracy,0.7710089577763825,0.0043950061591696826,5,2.0200439929962157
adult,base,baseline,logistic_regression,10,library_defaults,macro_f1,0.7885604881709101,0.004089604077946919,5,2.0200439929962157
adult,cost,ensemble,decision_tree,10,library_defaults,auprc,0.6058482332470054,0.009400476668875822,5,9.271188449859618
adult,cost,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.7437123732779026,0.004695803971355399,5,9.271188449859618
adult,cost,ensemble,decision_tree,10,library_defaults,macro_f1,0.7450860498754321,0.004777578232677529,5,9.271188449859618
adult,cost,ensemble,logistic_regression,10,library_defaults,auprc,0.6309513125530584,0.021665476378973068,5,2.613794040679932
adult,cost,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.7815168556814674,0.004364125845186129,5,2.613794040679932
adult,cost,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7723185917951717,0.0054855264246140255,5,2.613794040679932
adult,enn,resampling,decision_tree,10,library_defaults,auprc,0.45251103795004327,0.005139490069153484,5,8.242098617553712
adult,enn,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.7648431973394159,0.0038501158103283733,5,8.242098617553712
adult,enn,resampling,decision_tree,10,library_defaults,macro_f1,0.7307277608666035,0.0038178120191269473,5,8.242098617553712
adult,enn,resampling,logistic_regression,10,library_defaults,auprc,0.7757786795993018,0.007494827878122564,5,9.255074214935302
adult,enn,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.8257733527158422,0.00511376959365652,5,9.255074214935302
adult,enn,resampling,logistic_regression,10,library_defaults,macro_f1,0.7790344194748202,0.003983877972642115,5,9.255074214935302
adult,obag,ensemble,decision_tree,10,library_defaults,auprc,0.665134555459859,0.006678710824499856,5,10.420504760742187
adult,obag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.734612572927319,0.007984181436912154,5,10.420504760742187
adult,obag,ensemble,decision_tree,10,library_defaults,macro_f1,0.7500299570924831,0.007242672792112207,5,10.420504760742187
adult,obag,ensemble,logistic_regression,10,library_defaults,auprc,0.779638387867033,0.007385045347533632,5,28.58945589065552
adult,obag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.8279351116771763,0.005975520875281466,5,28.58945589065552
adult,obag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7786344801039211,0.004693808733075071,5,28.58945589065552
adult,rus,resampling,decision_tree,10,library_defaults,auprc,0.4381277278109061,0.004732004333547482,5,0.6524806976318359
